Date,Assignment,Status,
,,,
,"Implement a class for count constructor,methods",done,
,Annotation,done,
,create Annotation on your own,done,
,create html file in build resume ,done,
,Read 14 chapter and create class of read and write file,done,
,create your own custom exception and thrown exception,done,
,create object of serialization,done,
,implement interface and implement inheritance and interface,done,
,student-app,done,
,implement abstract class .,done,
,"create CRUD in map,set,list",done,
,Rick's Guitar App,done,
,"Iterate list,set,map using Iterator .",done,
,Implement Junit test for class calculator,done,
,exception-app,done,
,studentset-app,done,
,employee-app,done,
,citycode-app,done,
,create propertyFile,done,
,numberchoser game,done,
,UUID/GUID,pending,
,designpattern-app,done,
,tictactoe-app,done,
,customLinkedList-app,done,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
