Date,Description,Status
15-01-18,,
,Different global object in javascript,complete
,Hoisting in javaScript,complete
,Function statement and function expression,complete
,Double equals(==) and Triple Equals(===) in javaScript,complete
,Object Literal in javaScript,complete
,JSON,complete
16-01-18,create DOM using composite pattern,
,Create counter example for local storage and session storage,complete
,Make a HTML page for video Tag,
,Draw canvas with button click,
,Create Array and CRUD operation on it.Create Object Array.,
